time_min,C_F_mM,C_Ca_mM,C_F_normalized,sorbed_F_umol_g
259.0,0.009171394975071646,0.1,0.043673309405103077,0.0008779066851680637
260.0,0.009206004358757701,0.1,0.04383811599408429,0.0008812948287392822
261.0,0.009240607775776177,0.1,0.04400289417036275,0.0008846829711624481
262.0,0.009275205227155728,0.1,0.044167643938836806,0.000888071112437562
263.0,0.009309796713924833,0.1,0.044332365304403966,0.0008914592525646242
264.0,0.009344382237111796,0.1,0.04449705827196093,0.0008948473915436349
265.0,0.009378961797744736,0.1,0.04466172284640351,0.0008982355293745949
266.0,0.009413535396851599,0.1,0.04482635903262667,0.0009016236660575042
267.0,0.009448103035460162,0.1,0.04499096683552459,0.0009050118015923635
268.0,0.009482664714598013,0.1,0.04515554625999054,0.000908399935979173
269.0,0.009517220435292567,0.1,0.04532009731091699,0.0009117880692179333
270.0,0.009551770198571062,0.1,0.04548461999319554,0.0009151762013086444
271.0,0.009586314005460563,0.1,0.04564911431171697,0.0009185643322513071
272.0,0.009620851856987949,0.1,0.045813580271371196,0.0009219524620459216
273.0,0.00965538375417993,0.1,0.04597801787704729,0.0009253405906924881
274.0,0.009689909698063031,0.1,0.046142427133633486,0.0009287287181910072
275.0,0.009724429689663612,0.1,0.04630680804601721,0.0009321168445414793
276.0,0.009758943730007847,0.1,0.04647116061908498,0.0009355049697439048
277.0,0.009793451820121729,0.1,0.04663548485772252,0.0009388930937982841
278.0,0.009827953961031087,0.1,0.0467997807668147,0.0009422812167046176
279.0,0.00986245015376156,0.1,0.046964048351245534,0.0009456693384629055
280.0,0.009896940399338626,0.1,0.04712828761589822,0.0009490574590731481
281.0,0.009931424698787569,0.1,0.047292498565655094,0.0009524455785353462
282.0,0.009965903053133506,0.1,0.04745668120539765,0.0009558336968495002
283.0,0.010000375463401379,0.1,0.04762083554000657,0.0009592218140156102
284.0,0.010034841930615941,0.1,0.04778496157436163,0.0009626099300336763
285.0,0.010069302455801787,0.1,0.04794905931334185,0.0009659980449036997
286.0,0.010103757039983318,0.1,0.04811312876182533,0.0009693861586256799
287.0,0.010138205684184767,0.1,0.04827716992468937,0.0009727742711996182
288.0,0.010172648389430192,0.1,0.048441182806810444,0.0009761623826255144
289.0,0.010207085156743467,0.1,0.048605167413064136,0.000979550492903369
290.0,0.010241515987148299,0.1,0.04876912374832523,0.0009829386020331822
291.0,0.010275940881668208,0.1,0.04893305181746766,0.0009863267100149549
292.0,0.010310359841326545,0.1,0.04909695162536451,0.000989714816848687
293.0,0.010344772867146483,0.1,0.04926082317688802,0.000993102922534379
294.0,0.01037917996015102,0.1,0.04942466647690963,0.0009964910270720316
295.0,0.010413581121362973,0.1,0.04958848153029988,0.0009998791304616451
296.0,0.010447976351804987,0.1,0.049752268341928516,0.0010032672327032197
297.0,0.010482365652499529,0.1,0.04991602691666443,0.0010066553337967554
298.0,0.010516749024468893,0.1,0.05007975725937568,0.0010100434337422532
299.0,0.010551126468735185,0.1,0.05024345937492946,0.0010134315325397135
